Slowstart,Avg Total Time (s),Avg Map Complete (s),Avg Reduce Start (s),Avg Shuffle Time (s),Avg Reduce Complete (s)
0.05,41.33,29.67,15.75,12.94,41.06
0.1,40.99,30.1,15.31,13.33,40.95
0.2,40.6,29.54,17.66,11.79,40.56
0.3,41.27,29.98,17.12,13.16,41.22
0.5,41.97,29.56,18.14,11.55,41.93
0.7,43.94,28.49,26.09,5.29,43.88
0.8,43.86,28.97,26.46,5.12,43.77
0.9,48.61,28.8,31.12,4.97,48.56
1.0,49.97,29.88,32.46,4.96,49.91
