Slowstart,Run,Total Time (s),Map Complete (s),Min Reduce (s),Avg Reduce (s),Max Reduce (s),Reduce Stddev (s)
0.05,1,91.24,64.82,25.36,36.23,50.86,9.81
0.1,1,89.74,50.13,13.87,25.3,59.0,14.46
0.2,1,95.67,66.06,29.35,38.79,55.32,10.15
0.3,1,119.47,66.38,31.73,42.66,85.67,17.8
0.5,1,87.38,47.72,7.13,19.9,46.71,11.92
0.7,1,93.81,46.08,6.83,18.36,46.97,13.3
0.8,1,114.41,65.28,9.44,17.36,55.58,15.54
0.9,1,96.25,46.54,6.87,18.25,47.47,13.2
1.0,1,144.34,63.17,6.77,21.01,78.9,24.07
