Slowstart,Run,Total Time (s),Map Complete (s),Min Reduce (s),Avg Reduce (s),Max Reduce (s),Reduce Stddev (s)
0.05,1,103.08,86.74,44.56,52.41,64.51,7.5
0.1,1,102.82,84.66,26.7,49.06,68.91,17.69
0.2,1,89.71,68.42,29.75,34.58,41.27,4.16
0.3,1,84.21,56.98,21.76,27.73,34.41,5.37
0.5,1,90.54,69.32,16.37,27.61,42.28,10.41
0.7,1,87.38,60.92,17.36,26.54,33.53,7.29
0.8,1,96.81,68.64,14.34,23.38,32.51,7.06
0.9,1,102.53,68.39,13.49,20.69,30.89,7.62
1.0,1,101.79,67.22,12.56,20.63,31.76,8.06
